tool_patch_uid,Oracle,Predicted value
llm4pc-defects4j-Chart-13-GenProg-patch1,Overfitting,Unknown
llm4pc-defects4j-Chart-12-GenProg-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-40-GenProg-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-80-GenProg-patch1,Overfitting,Unknown
llm4pc-defects4j-Math-81-GenProg-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-2-GenProg-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-95-GenProg-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-31-GenProg-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-85-GenProg-patch1,Overfitting,Overfitting
llm4pc-defects4j-Lang-44-Nopol-patch1,Overfitting,Unknown
llm4pc-defects4j-Lang-55-Nopol-patch1,Overfitting,Overfitting
llm4pc-defects4j-Lang-58-Nopol-patch1,Overfitting,Correct
llm4pc-defects4j-Lang-53-Nopol-patch1,Overfitting,Overfitting
llm4pc-defects4j-Lang-51-Nopol-patch1,Overfitting,Overfitting
llm4pc-defects4j-Chart-25-Nopol-patch1,Overfitting,Correct
llm4pc-defects4j-Chart-9-Nopol-patch1,Overfitting,Overfitting
llm4pc-defects4j-Chart-13-Nopol-patch1,Overfitting,Overfitting
llm4pc-defects4j-Chart-21-Nopol-patch1,Overfitting,Overfitting
llm4pc-defects4j-Chart-5-Nopol-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-80-Nopol-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-20-Nopol-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-87-Nopol-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-58-Nopol-patch1,Overfitting,Correct
llm4pc-defects4j-Math-81-Nopol-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-105-Nopol-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-73-Nopol-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-42-Nopol-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-4-Nopol-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-18-Nopol-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-41-Nopol-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-82-Nopol-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-49-Nopol-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-7-Nopol-patch1,Overfitting,Correct
llm4pc-defects4j-Math-33-Nopol-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-78-Nopol-patch1,Overfitting,Correct
llm4pc-defects4j-Math-2-Nopol-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-69-Nopol-patch1,Overfitting,Overfitting
llm4pc-defects4j-Time-14-Nopol-patch1,Overfitting,Overfitting
llm4pc-defects4j-Lang-41-kPAR-patch1,Overfitting,Overfitting
llm4pc-defects4j-Lang-58-kPAR-patch1,Overfitting,Unknown
llm4pc-defects4j-Lang-59-kPAR-patch1,Overfitting,Overfitting
llm4pc-defects4j-Lang-45-kPAR-patch1,Overfitting,Correct
llm4pc-defects4j-Lang-10-kPAR-patch1,Overfitting,Correct
llm4pc-defects4j-Lang-20-kPAR-patch1,Overfitting,Correct
llm4pc-defects4j-Lang-16-kPAR-patch1,Overfitting,Correct
llm4pc-defects4j-Lang-43-kPAR-patch1,Overfitting,Overfitting
llm4pc-defects4j-Lang-44-kPAR-patch1,Overfitting,Overfitting
llm4pc-defects4j-Lang-21-kPAR-patch1,Overfitting,Overfitting
llm4pc-defects4j-Lang-18-kPAR-patch1,Overfitting,Correct
llm4pc-defects4j-Lang-24-kPAR-patch1,Overfitting,Correct
llm4pc-defects4j-Lang-53-kPAR-patch1,Overfitting,Overfitting
llm4pc-defects4j-Lang-51-kPAR-patch1,Overfitting,Correct
llm4pc-defects4j-Lang-27-kPAR-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-115-kPAR-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-109-kPAR-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-46-kPAR-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-62-kPAR-patch1,Overfitting,Unknown
llm4pc-defects4j-Closure-35-kPAR-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-126-kPAR-patch1,Overfitting,Overfitting
llm4pc-defects4j-Chart-5-kPAR-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-62-kPAR-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-2-kPAR-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-43-kPAR-patch1,Overfitting,Correct
llm4pc-defects4j-Math-15-kPAR-patch1,Overfitting,Correct
llm4pc-defects4j-Math-8-kPAR-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-40-kPAR-patch1,Overfitting,Correct
llm4pc-defects4j-Math-42-kPAR-patch1,Overfitting,Correct
llm4pc-defects4j-Math-82-kPAR-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-7-kPAR-patch1,Overfitting,Overfitting
llm4pc-defects4j-Time-17-kPAR-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-62-Cardumen-patch1,Overfitting,Overfitting
llm4pc-defects4j-Chart-6-Cardumen-patch1,Overfitting,Overfitting
llm4pc-defects4j-Chart-13-Cardumen-patch1,Overfitting,Correct
llm4pc-defects4j-Chart-24-Cardumen-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-73-Cardumen-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-95-Cardumen-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-85-Cardumen-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-63-Cardumen-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-5-Cardumen-patch1,Overfitting,Overfitting
llm4pc-defects4j-Lang-6-SequenceR-patch2,Overfitting,Overfitting
llm4pc-defects4j-Closure-73-SequenceR-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-92-SequenceR-patch7,Overfitting,Overfitting
llm4pc-defects4j-Closure-86-SequenceR-patch3,Overfitting,Overfitting
llm4pc-defects4j-Closure-86-SequenceR-patch5,Overfitting,Overfitting
llm4pc-defects4j-Closure-18-SequenceR-patch3,Overfitting,Correct
llm4pc-defects4j-Closure-123-SequenceR-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-86-SequenceR-patch2,Overfitting,Overfitting
llm4pc-defects4j-Closure-18-SequenceR-patch4,Overfitting,Overfitting
llm4pc-defects4j-Closure-18-SequenceR-patch5,Overfitting,Correct
llm4pc-defects4j-Closure-38-SequenceR-patch3,Overfitting,Overfitting
llm4pc-defects4j-Closure-86-SequenceR-patch4,Overfitting,Overfitting
llm4pc-defects4j-Closure-18-SequenceR-patch1,Overfitting,Correct
llm4pc-defects4j-Closure-38-SequenceR-patch2,Overfitting,Overfitting
llm4pc-defects4j-Chart-1-SequenceR-patch3,Overfitting,Correct
llm4pc-defects4j-Chart-1-SequenceR-patch4,Overfitting,Correct
llm4pc-defects4j-Chart-1-SequenceR-patch2,Overfitting,Correct
llm4pc-defects4j-Math-85-SequenceR-patch14,Overfitting,Overfitting
llm4pc-defects4j-Math-85-SequenceR-patch3,Overfitting,Overfitting
llm4pc-defects4j-Math-85-SequenceR-patch10,Overfitting,Correct
llm4pc-defects4j-Math-85-SequenceR-patch17,Overfitting,Overfitting
llm4pc-defects4j-Math-85-SequenceR-patch4,Overfitting,Overfitting
llm4pc-defects4j-Math-82-SequenceR-patch3,Overfitting,Overfitting
llm4pc-defects4j-Math-85-SequenceR-patch8,Overfitting,Overfitting
llm4pc-defects4j-Math-80-SequenceR-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-85-SequenceR-patch11,Overfitting,Overfitting
llm4pc-defects4j-Math-85-SequenceR-patch7,Overfitting,Overfitting
llm4pc-defects4j-Math-85-SequenceR-patch15,Overfitting,Correct
llm4pc-defects4j-Math-85-SequenceR-patch16,Overfitting,Overfitting
llm4pc-defects4j-Math-85-SequenceR-patch6,Overfitting,Correct
llm4pc-defects4j-Math-85-SequenceR-patch9,Overfitting,Overfitting
llm4pc-defects4j-Math-85-SequenceR-patch2,Overfitting,Overfitting
llm4pc-defects4j-Math-85-SequenceR-patch5,Overfitting,Overfitting
llm4pc-defects4j-Math-85-SequenceR-patch12,Overfitting,Correct
llm4pc-defects4j-Math-85-SequenceR-patch13,Overfitting,Overfitting
llm4pc-defects4j-Math-59-SequenceR-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-64-Kali-patch1,Overfitting,Unknown
llm4pc-defects4j-Closure-127-Kali-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-55-Kali-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-76-Kali-patch1,Overfitting,Unknown
llm4pc-defects4j-Closure-75-Kali-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-21-Kali-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-112-Kali-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-1-Kali-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-78-Kali-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-67-Kali-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-130-Kali-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-10-Kali-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-22-Kali-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-117-Kali-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-68-Kali-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-59-Kali-patch1,Overfitting,Unknown
llm4pc-defects4j-Closure-33-Kali-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-125-Kali-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-119-Kali-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-3-Kali-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-122-Kali-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-124-Kali-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-129-Kali-patch1,Overfitting,Unknown
llm4pc-defects4j-Closure-7-Kali-patch1,Overfitting,Overfitting
llm4pc-defects4j-Chart-1-Kali-patch1,Overfitting,Overfitting
llm4pc-defects4j-Chart-25-Kali-patch1,Overfitting,Overfitting
llm4pc-defects4j-Chart-26-Kali-patch1,Overfitting,Overfitting
llm4pc-defects4j-Chart-5-Kali-patch1,Overfitting,Overfitting
llm4pc-defects4j-Chart-12-Kali-patch1,Overfitting,Overfitting
llm4pc-defects4j-Chart-15-Kali-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-84-Kali-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-95-Kali-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-31-Kali-patch1,Overfitting,Unknown
llm4pc-defects4j-Math-2-Kali-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-81-Kali-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-80-Kali-patch1,Overfitting,Overfitting
llm4pc-defects4j-Lang-63-DynaMoth-patch1,Overfitting,Overfitting
llm4pc-defects4j-Lang-51-DynaMoth-patch1,Overfitting,Overfitting
llm4pc-defects4j-Chart-5-DynaMoth-patch1,Overfitting,Overfitting
llm4pc-defects4j-Chart-1-DynaMoth-patch1,Overfitting,Correct
llm4pc-defects4j-Chart-13-DynaMoth-patch1,Overfitting,Overfitting
llm4pc-defects4j-Chart-18-DynaMoth-patch1,Overfitting,Overfitting
llm4pc-defects4j-Chart-25-DynaMoth-patch1,Overfitting,Correct
llm4pc-defects4j-Chart-15-DynaMoth-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-105-DynaMoth-patch1,Overfitting,Unknown
llm4pc-defects4j-Math-85-DynaMoth-patch1,Overfitting,Correct
llm4pc-defects4j-Math-80-DynaMoth-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-49-DynaMoth-patch1,Overfitting,Unknown
llm4pc-defects4j-Math-58-DynaMoth-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-71-DynaMoth-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-8-DynaMoth-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-82-DynaMoth-patch1,Overfitting,Correct
llm4pc-defects4j-Math-41-DynaMoth-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-81-DynaMoth-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-32-DynaMoth-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-20-DynaMoth-patch1,Overfitting,Overfitting
llm4pc-defects4j-Time-11-DynaMoth-patch1,Overfitting,Correct
llm4pc-defects4j-Math-2-SOFix-patch2,Overfitting,Overfitting
llm4pc-defects4j-Lang-43-CapGen-patch2,Overfitting,Overfitting
llm4pc-defects4j-Lang-59-CapGen-patch13,Overfitting,Overfitting
llm4pc-defects4j-Lang-59-CapGen-patch5,Overfitting,Overfitting
llm4pc-defects4j-Lang-59-CapGen-patch1,Overfitting,Overfitting
llm4pc-defects4j-Lang-43-CapGen-patch1,Overfitting,Overfitting
llm4pc-defects4j-Lang-59-CapGen-patch2,Overfitting,Overfitting
llm4pc-defects4j-Lang-59-CapGen-patch7,Overfitting,Overfitting
llm4pc-defects4j-Lang-59-CapGen-patch4,Overfitting,Overfitting
llm4pc-defects4j-Lang-43-CapGen-patch3,Overfitting,Overfitting
llm4pc-defects4j-Lang-59-CapGen-patch11,Overfitting,Overfitting
llm4pc-defects4j-Lang-59-CapGen-patch10,Overfitting,Overfitting
llm4pc-defects4j-Lang-59-CapGen-patch12,Overfitting,Overfitting
llm4pc-defects4j-Lang-59-CapGen-patch3,Overfitting,Overfitting
llm4pc-defects4j-Lang-59-CapGen-patch6,Overfitting,Overfitting
llm4pc-defects4j-Lang-59-CapGen-patch9,Overfitting,Correct
llm4pc-defects4j-Lang-59-CapGen-patch8,Overfitting,Correct
llm4pc-defects4j-Math-63-CapGen-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-63-CapGen-patch2,Overfitting,Overfitting
llm4pc-defects4j-Math-5-CapGen-patch2,Overfitting,Overfitting
llm4pc-defects4j-Math-80-CapGen-patch2,Overfitting,Overfitting
llm4pc-defects4j-Math-80-CapGen-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-80-CapGen-patch5,Overfitting,Overfitting
llm4pc-defects4j-Math-85-CapGen-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-80-CapGen-patch6,Overfitting,Overfitting
llm4pc-defects4j-Math-63-CapGen-patch8,Overfitting,Overfitting
llm4pc-defects4j-Math-85-CapGen-patch2,Overfitting,Overfitting
llm4pc-defects4j-Math-5-CapGen-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-63-CapGen-patch6,Overfitting,Overfitting
llm4pc-defects4j-Math-63-CapGen-patch5,Overfitting,Overfitting
llm4pc-defects4j-Math-80-CapGen-patch7,Overfitting,Overfitting
llm4pc-defects4j-Math-80-CapGen-patch4,Overfitting,Overfitting
llm4pc-defects4j-Math-63-CapGen-patch7,Overfitting,Overfitting
llm4pc-defects4j-Math-53-CapGen-patch2,Overfitting,Overfitting
llm4pc-defects4j-Math-80-CapGen-patch9,Overfitting,Overfitting
llm4pc-defects4j-Math-63-CapGen-patch4,Overfitting,Overfitting
llm4pc-defects4j-Math-80-CapGen-patch10,Overfitting,Overfitting
llm4pc-defects4j-Math-85-CapGen-patch3,Overfitting,Overfitting
llm4pc-defects4j-Math-63-CapGen-patch3,Overfitting,Overfitting
llm4pc-defects4j-Math-80-CapGen-patch8,Overfitting,Overfitting
llm4pc-defects4j-Math-5-CapGen-patch3,Overfitting,Overfitting
llm4pc-defects4j-Math-80-CapGen-patch3,Overfitting,Overfitting
llm4pc-defects4j-Lang-27-jMutRepair-patch1,Overfitting,Overfitting
llm4pc-defects4j-Lang-22-jMutRepair-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-21-jMutRepair-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-126-jMutRepair-patch1,Overfitting,Correct
llm4pc-defects4j-Chart-25-jMutRepair-patch1,Overfitting,Overfitting
llm4pc-defects4j-Chart-26-jMutRepair-patch1,Overfitting,Overfitting
llm4pc-defects4j-Chart-7-jMutRepair-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-2-jMutRepair-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-28-jMutRepair-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-81-jMutRepair-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-52-jMutRepair-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-57-jMutRepair-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-50-jMutRepair-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-80-jMutRepair-patch1,Overfitting,Overfitting
llm4pc-defects4j-Lang-7-RSRepair-patch1,Overfitting,Overfitting
llm4pc-defects4j-Lang-13-RSRepair-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-78-RSRepair-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-21-RSRepair-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-67-RSRepair-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-55-RSRepair-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-10-RSRepair-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-120-RSRepair-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-59-RSRepair-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-22-RSRepair-patch1,Overfitting,Unknown
llm4pc-defects4j-Closure-75-RSRepair-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-33-RSRepair-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-61-RSRepair-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-114-RSRepair-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-121-RSRepair-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-124-RSRepair-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-112-RSRepair-patch1,Overfitting,Overfitting
llm4pc-defects4j-Chart-5-RSRepair-patch1,Overfitting,Overfitting
llm4pc-defects4j-Chart-12-RSRepair-patch1,Overfitting,Correct
llm4pc-defects4j-Chart-25-RSRepair-patch1,Overfitting,Overfitting
llm4pc-defects4j-Chart-13-RSRepair-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-33-RSRepair-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-28-RSRepair-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-85-RSRepair-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-80-RSRepair-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-95-RSRepair-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-84-RSRepair-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-103-RSRepair-patch1,Overfitting,Unknown
llm4pc-defects4j-Math-40-RSRepair-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-58-RSRepair-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-81-RSRepair-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-115-Arja-patch1,Correct,Overfitting
llm4pc-defects4j-Closure-126-Arja-patch1,Correct,Overfitting
llm4pc-defects4j-Chart-12-Arja-patch1,Correct,Overfitting
llm4pc-defects4j-Math-98-Arja-patch1,Correct,Overfitting
llm4pc-defects4j-Math-98-Arja-patch2,Correct,Overfitting
llm4pc-defects4j-Math-35-Arja-patch1,Correct,Overfitting
llm4pc-defects4j-Math-50-Arja-patch1,Correct,Overfitting
llm4pc-defects4j-Math-58-Arja-patch1,Correct,Overfitting
llm4pc-defects4j-Lang-45-Jaid-patch1,Correct,Overfitting
llm4pc-defects4j-Lang-51-Jaid-patch4,Correct,Correct
llm4pc-defects4j-Lang-38-Jaid-patch2,Correct,Overfitting
llm4pc-defects4j-Lang-38-Jaid-patch4,Correct,Overfitting
llm4pc-defects4j-Lang-38-Jaid-patch1,Correct,Overfitting
llm4pc-defects4j-Lang-33-Jaid-patch1,Correct,Overfitting
llm4pc-defects4j-Lang-51-Jaid-patch1,Correct,Correct
llm4pc-defects4j-Lang-51-Jaid-patch3,Correct,Correct
llm4pc-defects4j-Lang-51-Jaid-patch6,Correct,Correct
llm4pc-defects4j-Lang-51-Jaid-patch5,Correct,Correct
llm4pc-defects4j-Lang-33-Jaid-patch2,Correct,Overfitting
llm4pc-defects4j-Lang-38-Jaid-patch3,Correct,Overfitting
llm4pc-defects4j-Lang-55-Jaid-patch1,Correct,Overfitting
llm4pc-defects4j-Closure-70-Jaid-patch1,Correct,Overfitting
llm4pc-defects4j-Closure-33-Jaid-patch1,Correct,Correct
llm4pc-defects4j-Closure-18-Jaid-patch1,Correct,Overfitting
llm4pc-defects4j-Closure-31-Jaid-patch1,Correct,Overfitting
llm4pc-defects4j-Chart-26-Jaid-patch2,Correct,Correct
llm4pc-defects4j-Chart-26-Jaid-patch1,Correct,Correct
llm4pc-defects4j-Chart-9-Jaid-patch1,Correct,Correct
llm4pc-defects4j-Chart-24-Jaid-patch1,Correct,Overfitting
llm4pc-defects4j-Chart-9-Jaid-patch2,Correct,Correct
llm4pc-defects4j-Chart-24-Jaid-patch2,Correct,Overfitting
llm4pc-defects4j-Chart-26-Jaid-patch3,Correct,Correct
llm4pc-defects4j-Math-80-Jaid-patch1,Correct,Overfitting
llm4pc-defects4j-Math-5-Jaid-patch3,Correct,Overfitting
llm4pc-defects4j-Math-5-Jaid-patch1,Correct,Overfitting
llm4pc-defects4j-Math-5-Jaid-patch2,Correct,Overfitting
llm4pc-defects4j-Math-80-Jaid-patch2,Correct,Overfitting
llm4pc-defects4j-Math-53-Jaid-patch1,Correct,Correct
llm4pc-defects4j-Math-32-Jaid-patch1,Correct,Correct
llm4pc-defects4j-Math-50-Jaid-patch1,Correct,Correct
llm4pc-defects4j-Lang-59-TBar-patch1,Correct,Overfitting
llm4pc-defects4j-Lang-47-TBar-patch1,Correct,Overfitting
llm4pc-defects4j-Lang-33-TBar-patch1,Correct,Overfitting
llm4pc-defects4j-Chart-20-TBar-patch1,Correct,Overfitting
llm4pc-defects4j-Chart-9-TBar-patch1,Correct,Correct
llm4pc-defects4j-Math-65-TBar-patch1,Correct,Overfitting
llm4pc-defects4j-Math-11-TBar-patch1,Correct,Overfitting
llm4pc-defects4j-Chart-24-FixMiner-patch1,Correct,Overfitting
llm4pc-defects4j-Math-22-FixMiner-patch1,Correct,Overfitting
llm4pc-defects4j-Math-30-FixMiner-patch1,Correct,Overfitting
llm4pc-defects4j-Math-57-FixMiner-patch1,Correct,Overfitting
llm4pc-defects4j-Math-79-FixMiner-patch1,Correct,Overfitting
llm4pc-defects4j-Math-75-FixMiner-patch1,Correct,Overfitting
llm4pc-defects4j-Lang-7-jKali-patch1,Correct,Overfitting
llm4pc-defects4j-Lang-10-jKali-patch1,Correct,Overfitting
llm4pc-defects4j-Closure-126-jKali-patch1,Correct,Overfitting
llm4pc-defects4j-Math-50-jKali-patch1,Correct,Overfitting
llm4pc-defects4j-Math-82-ACS-patch1,Correct,Correct
llm4pc-defects4j-Lang-44-Nopol-patch1,Correct,Unknown
llm4pc-defects4j-Chart-5-Nopol-patch1,Correct,Overfitting
llm4pc-defects4j-Chart-14-ACS-patch1,Correct,Correct
llm4pc-defects4j-Math-35-ACS-patch1,Correct,Correct
llm4pc-defects4j-Math-34-HDRepair-patch1,Correct,Overfitting
llm4pc-defects4j-Lang-57-HDRepair-patch1,Correct,Overfitting
llm4pc-defects4j-Lang-58-Nopol-patch1,Correct,Correct
llm4pc-defects4j-Lang-24-ACS-patch1,Correct,Correct
llm4pc-defects4j-Time-19-HDRepair-patch1,Correct,Overfitting
llm4pc-defects4j-Math-89-ACS-patch1,Correct,Overfitting
llm4pc-defects4j-Math-3-ACS-patch1,Correct,Overfitting
llm4pc-defects4j-Math-53-jGenProg-patch1,Correct,Overfitting
llm4pc-defects4j-Math-90-ACS-patch1,Correct,Overfitting
llm4pc-defects4j-Math-70-HDRepair-patch1,Correct,Overfitting
llm4pc-defects4j-Math-25-ACS-patch1,Correct,Overfitting
llm4pc-defects4j-Math-5-ACS-patch1,Correct,Overfitting
llm4pc-defects4j-Math-5-jGenProg-patch1,Correct,Overfitting
llm4pc-defects4j-Math-50-Nopol-patch1,Correct,Overfitting
llm4pc-defects4j-Math-85-ACS-patch1,Correct,Correct
llm4pc-defects4j-Time-15-ACS-patch1,Correct,Overfitting
llm4pc-defects4j-Math-99-ACS-patch1,Correct,Overfitting
llm4pc-defects4j-Chart-19-ACS-patch1,Correct,Correct
llm4pc-defects4j-Lang-55-Nopol-patch1,Correct,Overfitting
llm4pc-defects4j-Math-93-ACS-patch1,Correct,Correct
llm4pc-defects4j-Closure-126-SketchFix-patch1,Correct,Correct
llm4pc-defects4j-Chart-9-SketchFix-patch1,Correct,Correct
llm4pc-defects4j-Chart-11-SketchFix-patch1,Correct,Overfitting
llm4pc-defects4j-Chart-8-SketchFix-patch1,Correct,Overfitting
llm4pc-defects4j-Math-50-SketchFix-patch1,Correct,Overfitting
llm4pc-defects4j-Math-53-jGenProg-patch2,Correct,Overfitting
llm4pc-defects4j-Math-5-jGenProg-patch2,Correct,Overfitting
llm4pc-defects4j-Lang-7-ACS-patch1,Correct,Overfitting
llm4pc-defects4j-Lang-24-ACS-patch2,Correct,Correct
llm4pc-defects4j-Chart-19-ACS-patch2,Correct,Correct
llm4pc-defects4j-Chart-14-ACS-patch2,Correct,Correct
llm4pc-defects4j-Math-82-ACS-patch2,Correct,Correct
llm4pc-defects4j-Math-25-ACS-patch2,Correct,Overfitting
llm4pc-defects4j-Math-89-ACS-patch2,Correct,Overfitting
llm4pc-defects4j-Math-5-ACS-patch2,Correct,Overfitting
llm4pc-defects4j-Math-35-ACS-patch2,Correct,Correct
llm4pc-defects4j-Math-90-ACS-patch2,Correct,Overfitting
llm4pc-defects4j-Math-3-ACS-patch2,Correct,Overfitting
llm4pc-defects4j-Math-61-ACS-patch1,Correct,Overfitting
llm4pc-defects4j-Math-99-ACS-patch2,Correct,Overfitting
llm4pc-defects4j-Math-85-ACS-patch2,Correct,Correct
llm4pc-defects4j-Time-15-ACS-patch2,Correct,Overfitting
llm4pc-defects4j-Lang-39-SimFix-patch1,Correct,Overfitting
llm4pc-defects4j-Lang-58-SimFix-patch1,Correct,Unknown
llm4pc-defects4j-Lang-33-SimFix-patch1,Correct,Correct
llm4pc-defects4j-Lang-60-SimFix-patch1,Correct,Overfitting
llm4pc-defects4j-Lang-43-SimFix-patch1,Correct,Overfitting
llm4pc-defects4j-Closure-68-SimFix-patch1,Correct,Overfitting
llm4pc-defects4j-Closure-115-SimFix-patch1,Correct,Overfitting
llm4pc-defects4j-Closure-6-SimFix-patch1,Correct,Overfitting
llm4pc-defects4j-Closure-19-SimFix-patch1,Correct,Overfitting
llm4pc-defects4j-Chart-7-SimFix-patch1,Correct,Overfitting
llm4pc-defects4j-Chart-20-SimFix-patch1,Correct,Overfitting
llm4pc-defects4j-Math-53-SimFix-patch1,Correct,Overfitting
llm4pc-defects4j-Math-71-SimFix-patch1,Correct,Overfitting
llm4pc-defects4j-Math-41-SimFix-patch1,Correct,Overfitting
llm4pc-defects4j-Math-5-SimFix-patch1,Correct,Overfitting
llm4pc-defects4j-Math-72-SimFix-patch1,Correct,Overfitting
llm4pc-defects4j-Lang-6-AVATAR-patch1,Correct,Overfitting
